#{"t_start": 1746037119.556275, "env_id": "PickCube-v1"}
r,l,t
4.324638,50,42.553738
5.176055,50,42.60149
5.809947,50,42.652863
7.255836,50,42.708385
4.904813,50,42.756681
4.690464,50,42.808287
5.893719,50,42.857374
4.916565,50,42.906678
4.001372,50,42.952643
5.584817,50,43.002115
6.024378,50,43.054122
5.423576,50,43.104978
5.233665,50,43.159219
5.873199,50,43.212261
4.569323,50,43.257521
4.930412,50,43.302955
4.355029,50,43.348357
5.845932,50,43.399981
6.812762,50,43.45438
6.444049,50,43.508703
5.461139,50,43.557843
3.706834,50,43.603265
6.396411,50,43.653515
6.360691,50,44.163405
6.265793,50,44.214464
4.417856,50,44.260405
4.797068,50,44.309102
3.348846,50,44.356985
5.614572,50,44.407088
5.842263,50,44.457901
4.347508,50,44.504001
4.868994,50,44.549991
4.986546,50,44.595409
4.963166,50,44.641156
4.507824,50,44.685621
6.031477,50,44.736876
5.47511,50,44.785743
5.134362,50,44.833319
4.190095,50,44.877137
4.481127,50,44.926057
5.875318,50,44.977477
5.181662,50,45.025963
6.497475,50,45.078557
3.224607,50,45.12674
4.193073,50,45.172962
4.969269,50,45.220435
4.162955,50,45.264319
6.093942,50,45.314464
5.371823,50,45.364057
6.050541,50,45.416576
5.726092,50,45.467856
6.633534,50,45.52089
5.481369,50,45.566867
5.79121,50,45.613537
3.405819,50,45.659196
6.083193,50,45.708495
5.073486,50,45.757164
6.397533,50,45.806326
4.72109,50,45.853337
6.989633,50,45.906276
6.122525,50,45.959014
6.180957,50,46.018003
4.278539,50,46.069687
5.746161,50,46.122533
6.374405,50,46.641599
5.486053,50,46.692289
5.854378,50,46.741321
5.34629,50,46.790505
5.370828,50,46.841475
3.398027,50,46.889027
4.718558,50,46.934404
5.530496,50,46.979524
5.400821,50,47.031801
6.671253,50,47.08738
6.959197,50,47.145944
3.610016,50,47.194619
4.305339,50,47.239612
5.402665,50,47.285996
4.467432,50,47.331339
5.079528,50,47.379663
4.519188,50,47.425933
4.30053,50,47.471178
5.906956,50,47.522299
6.36186,50,47.575673
5.87023,50,47.62781
3.865083,50,47.671893
6.405641,50,47.721638
6.541092,50,47.777073
5.974271,50,47.83037
5.605103,50,47.883494
6.17375,50,47.935623
6.530676,50,47.986945
5.374124,50,48.03265
5.90624,50,48.082654
6.196268,50,48.131571
5.312602,50,48.178501
4.397693,50,48.222215
5.130779,50,48.269178
5.692644,50,48.315771
2.884129,50,48.359538
6.266571,50,48.408494
4.905949,50,48.454373
5.282519,50,48.500242
5.119594,50,48.54696
6.722813,50,48.601241
6.277304,50,49.109477
5.005607,50,49.15245
6.169264,50,49.200712
5.810917,50,49.249704
5.896636,50,49.29998
3.612207,50,49.349938
7.052001,50,49.404873
5.595283,50,49.459535
6.921116,50,49.514825
5.072698,50,49.562487
5.541458,50,49.608549
6.565835,50,49.659952
4.633814,50,49.70564
6.321262,50,49.758349
6.377252,50,49.808443
4.709053,50,49.855323
8.009094,50,49.907975
5.88321,50,49.960699
5.850372,50,50.009684
5.110195,50,50.057591
6.00872,50,50.108123
5.839757,50,50.154123
6.018208,50,50.204752
6.270517,50,50.254951
5.451463,50,50.303589
4.976745,50,50.348052
7.09229,50,50.39936
5.497533,50,50.448581
3.032923,50,50.493799
2.743458,50,50.539003
3.826837,50,50.586027
5.157542,50,50.631238
5.758854,50,50.676826
4.834115,50,50.722487
6.557451,50,50.77097
4.669291,50,50.815941
6.077487,50,50.866023
4.682732,50,50.911262
5.273642,50,50.957621
4.665834,50,51.000722
4.96021,50,51.046911
6.579786,50,51.553512
6.319624,50,51.602907
6.04365,50,51.653852
5.697527,50,51.702451
5.187959,50,51.748478
6.544923,50,51.799436
5.502046,50,51.844526
6.153168,50,51.894323
2.636035,50,51.939153
3.460468,50,51.985352
4.660058,50,52.029918
4.655845,50,52.074534
3.090303,50,52.117644
5.295895,50,52.164991
5.842577,50,52.21198
6.766713,50,52.265922
4.930726,50,52.313979
5.400531,50,52.361437
5.38354,50,52.40812
5.902347,50,52.455975
5.977068,50,52.502494
6.605702,50,52.549564
6.618935,50,52.60153
5.260514,50,52.645428
4.95383,50,52.691435
5.204289,50,52.736232
5.325054,50,52.782165
5.213655,50,52.830348
6.643907,50,52.882121
5.381021,50,52.930309
4.920679,50,52.97858
4.618795,50,53.028171
5.824281,50,53.076735
5.954053,50,53.128819
6.208696,50,53.179717
5.138484,50,53.227347
3.50925,50,53.271888
4.86126,50,53.317869
3.279594,50,53.362554
5.394506,50,53.410011
6.409833,50,53.460613
5.781951,50,53.968867
5.928504,50,54.016052
6.991188,50,54.070904
6.100774,50,54.118547
5.691684,50,54.166206
5.912504,50,54.21419
5.232754,50,54.261682
5.586911,50,54.308939
5.12788,50,54.355231
7.474899,50,54.409389
3.778826,50,54.45315
6.668945,50,54.504112
5.983512,50,54.550994
5.720263,50,54.597778
3.862056,50,54.642124
5.052357,50,54.684798
4.571325,50,54.731259
6.862263,50,54.784164
5.962841,50,54.832329
5.909047,50,54.88033
6.390276,50,54.931019
6.230086,50,54.979812
6.703795,50,55.030862
5.803418,50,55.080956
5.572266,50,55.129433
6.606184,50,55.181084
6.167266,50,55.230596
6.375066,50,55.279839
6.138502,50,55.330673
5.543784,50,55.37827
7.236829,50,55.430565
6.512817,50,55.479923
5.264155,50,55.524625
6.686558,50,55.574461
6.389176,50,55.623054
6.467252,50,55.672107
6.059347,50,55.72138
5.465978,50,55.767009
5.328608,50,55.81147
7.125981,50,55.865708
5.741754,50,55.912522
5.511005,50,56.42125
5.741256,50,56.46915
6.684872,50,56.522732
6.643027,50,56.571268
4.961083,50,56.617343
6.404643,50,56.667612
4.639255,50,56.715244
7.294055,50,56.765008
4.898169,50,56.814091
6.629481,50,56.863498
7.104794,50,56.91612
6.209404,50,56.963227
1.085334,50,57.010081
5.241944,50,57.058573
7.100991,50,57.117298
5.455797,50,57.169194
5.212492,50,57.219475
6.194332,50,57.268517
4.755517,50,57.31663
6.166357,50,57.367392
6.932714,50,57.41878
5.77668,50,57.471784
5.730806,50,57.521621
5.609702,50,57.570903
6.342354,50,57.62376
5.756231,50,57.676105
5.983387,50,57.728923
7.20773,50,57.786812
4.494384,50,57.832337
5.312616,50,57.880176
5.651776,50,57.928413
6.190962,50,57.979817
6.301265,50,58.030429
6.022181,50,58.080545
6.264655,50,58.129125
7.062926,50,58.183148
6.396483,50,58.23609
5.676634,50,58.286224
5.710389,50,58.342478
5.95347,50,58.395692
5.204661,50,58.445254
5.842194,50,58.966504
5.868001,50,59.016481
5.454953,50,59.064555
4.843157,50,59.110969
5.215413,50,59.159439
5.623683,50,59.20649
6.604335,50,59.259332
5.952027,50,59.3078
5.220023,50,59.352871
6.044689,50,59.40267
10.607721,50,59.454598
6.571619,50,59.504851
6.261235,50,59.55528
10.138275,50,59.60646
5.959008,50,59.656546
5.646674,50,59.703516
4.783411,50,59.748484
5.429116,50,59.794727
4.830353,50,59.843648
6.367638,50,59.897281
4.837662,50,59.946078
5.430556,50,59.993284
6.056917,50,60.039881
6.795828,50,60.093091
4.778003,50,60.138057
6.238864,50,60.185985
3.060501,50,60.232691
5.199921,50,60.280101
3.949818,50,60.327925
6.517335,50,60.381788
5.882153,50,60.431274
6.749859,50,60.484426
6.226014,50,60.540552
5.899965,50,60.592932
6.688082,50,60.646518
5.442071,50,60.694342
6.423664,50,60.745208
3.921478,50,60.789993
6.260769,50,60.84039
6.897221,50,60.892563
6.328865,50,60.942253
7.167455,50,61.666338
8.405295,50,61.72039
5.953879,50,61.767971
6.698901,50,61.823552
6.421221,50,61.8749
